"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"114","Demitrius Guerrero","Texas Tech",0.535211267605634,0.0847457627118644,NA,NA,0.619957030317498,0.535211267605634,0.0847457627118644,0.309978515158749,0.309978515158749,0.619957030317498
"115","Cory Hatchel","TCU",0.539906103286385,0.0593220338983051,NA,NA,0.59922813718469,0.539906103286385,0.0593220338983051,0.299614068592345,0.299614068592345,0.59922813718469
"116","Devon Comber","Villanova",0.544600938967136,0.966101694915254,0.935,0.582474226804124,3.02817686068651,0.966101694915254,0.935,0.757044215171629,0.950550847457627,1.90110169491525
"117","Ignatius Fitzgerald","Oregon",0.549295774647887,0.75,0.1,0.860824742268041,2.26012051691593,0.860824742268041,0.75,0.565030129228982,0.805412371134021,1.61082474226804
"118","Cameron Stein","Oregon",0.553990610328638,0.826271186440678,0.795,0.969072164948454,3.14433396171777,0.969072164948454,0.826271186440678,0.786083490429442,0.897671675694566,1.79534335138913
"119","Miles Phillips","Ole Miss",0.55868544600939,0.415254237288136,0.31,0.298969072164948,1.58290875546247,0.55868544600939,0.415254237288136,0.395727188865618,0.486969841648763,0.973939683297525
"120","Jonathan Pitchford","Florida",0.563380281690141,0.716101694915254,0.215,0.118556701030928,1.61303867763632,0.716101694915254,0.563380281690141,0.403259669409081,0.639740988302698,1.2794819766054
"121","Johnny Martin","Missouri",0.568075117370892,0.427966101694915,0.035,0.108247422680412,1.13928864174622,0.568075117370892,0.427966101694915,0.284822160436555,0.498020609532904,0.996041219065807
"122","Chance Gibson","Texas A&M",0.572769953051643,0.572033898305085,0.41,0.72680412371134,2.28160797506807,0.72680412371134,0.572769953051643,0.570401993767017,0.649787038381492,1.29957407676298
"123","Isaac Hartman","Iowa",0.577464788732394,0.372881355932203,0.29,0.0824742268041237,1.32282037146872,0.577464788732394,0.372881355932203,0.33070509286718,0.475173072332299,0.950346144664598
"124","Colin Hill","Iowa",0.582159624413146,0.436440677966102,0.04,NA,1.05860030237925,0.582159624413146,0.436440677966102,0.352866767459749,0.509300151189624,1.01860030237925
"125","Gage Killewald","Michigan State",0.586854460093897,0.508474576271186,NA,NA,1.09532903636508,0.586854460093897,0.508474576271186,0.547664518182542,0.547664518182542,1.09532903636508
"126","Aiden Barnhill","NAU",0.591549295774648,0.957627118644068,0.89,0.484536082474227,2.92371249689294,0.957627118644068,0.89,0.730928124223236,0.923813559322034,1.84762711864407
"127","Randy Espinoza","NAU",0.596244131455399,0.453389830508475,0.375,0.742268041237113,2.16690200320099,0.742268041237113,0.596244131455399,0.541725500800247,0.669256086346256,1.33851217269251
"128","Sam Geiger","Gonzaga",0.60093896713615,0.648305084745763,0.01,0.530927835051546,1.79017188693346,0.648305084745763,0.60093896713615,0.447542971733365,0.624622025940957,1.24924405188191
"129","Angus Fitzgerald","Boise State",0.605633802816901,0.860169491525424,0.46,0.474226804123711,2.40003009846604,0.860169491525424,0.605633802816901,0.600007524616509,0.732901647171163,1.46580329434233
"130","Matt Bogdan","NC State",0.610328638497653,0.733050847457627,0.68,0.556701030927835,2.58008051688311,0.733050847457627,0.68,0.645020129220779,0.706525423728814,1.41305084745763
"131","Will Jones","Virginia Tech",0.615023474178404,0.610169491525424,0.405,NA,1.63019296570383,0.615023474178404,0.610169491525424,0.543397655234609,0.612596482851914,1.22519296570383
"132","Colin O'Rielly","Virginia Tech",0.619718309859155,0.694915254237288,0.65,NA,1.96463356409644,0.694915254237288,0.65,0.654877854698814,0.672457627118644,1.34491525423729
"133","Will Pinto","Virginia Tech",0.624413145539906,0.385593220338983,NA,0.216494845360825,1.22650121123971,0.624413145539906,0.385593220338983,0.408833737079905,0.505003182939445,1.01000636587889
"134","Edwin Gomez","Texas",0.629107981220657,0.466101694915254,0.425,0.793814432989691,2.3140241091256,0.793814432989691,0.629107981220657,0.578506027281401,0.711461207105174,1.42292241421035
"135","Alex Gutierrez","Kansas State",0.633802816901408,0.389830508474576,0.18,0.0979381443298969,1.30157146970588,0.633802816901408,0.389830508474576,0.32539286742647,0.511816662687992,1.02363332537598
"136","Clay MacDonald","TCU",0.63849765258216,NA,NA,NA,0.63849765258216,0.63849765258216,NA,0.63849765258216,0.63849765258216,0.63849765258216
"137","Sean Donoghue","Villanova",0.643192488262911,0.940677966101695,0.69,NA,2.27387045436461,0.940677966101695,0.69,0.757956818121535,0.815338983050848,1.6306779661017
"138","Ben Green","Colorado",0.647887323943662,0.699152542372881,0.08,0.268041237113402,1.69508110342995,0.699152542372881,0.647887323943662,0.423770275857486,0.673519933158272,1.34703986631654
"139","Luke Affolder","Oregon",0.652582159624413,0.398305084745763,0.115,0.0257731958762887,1.19166044024646,0.652582159624413,0.398305084745763,0.297915110061616,0.525443622185088,1.05088724437018
"140","Sebastian Barclay","Oregon",0.657276995305164,0.402542372881356,NA,0.221649484536082,1.2814688527226,0.657276995305164,0.402542372881356,0.427156284240868,0.52990968409326,1.05981936818652
"141","Diego Perez","Oregon",0.661971830985915,0.822033898305085,0.47,NA,1.954005729291,0.822033898305085,0.661971830985915,0.651335243097,0.7420028646455,1.484005729291
"142","Robert DiDonato","Stanford",0.666666666666667,0.830508474576271,0.975,0.644329896907217,3.11650503815015,0.975,0.830508474576271,0.779126259537539,0.902754237288136,1.80550847457627
"143","Nathan Green","Washington",0.671361502347418,0.995762711864407,0.94,0.824742268041237,3.43186648225306,0.995762711864407,0.94,0.857966620563265,0.967881355932203,1.93576271186441
"144","Aubrey Lake","Alabama",0.676056338028169,0.292372881355932,NA,0.0206185567010309,0.989047776085132,0.676056338028169,0.292372881355932,0.329682592028377,0.484214609692051,0.968429219384101
"145","Eoin McNally","Florida",0.68075117370892,0.711864406779661,NA,0.515463917525773,1.90807949801435,0.711864406779661,0.68075117370892,0.636026499338118,0.696307790244291,1.39261558048858
"146","Will Bray","Georgia",0.685446009389671,0.245762711864407,0.22,0.329896907216495,1.48110562847057,0.685446009389671,0.329896907216495,0.370276407117643,0.507671458303083,1.01534291660617
"147","Micah Bruggeman","Missouri",0.690140845070423,0.423728813559322,0.03,0.128865979381443,1.27273563801119,0.690140845070423,0.423728813559322,0.318183909502797,0.556934829314872,1.11386965862974
"148","Sean Carney","Ohio State",0.694835680751174,0.851694915254237,0.875,0.690721649484536,3.11225224548995,0.875,0.851694915254237,0.778063061372487,0.863347457627119,1.72669491525424
"149","Max Davis","BYU",0.699530516431925,0.800847457627119,0.665,0.469072164948454,2.6344501390075,0.800847457627119,0.699530516431925,0.658612534751874,0.750188987029522,1.50037797405904
"150","Aidan Roberts","Boise State",0.704225352112676,0.885593220338983,0.835,NA,2.42481857245166,0.885593220338983,0.835,0.808272857483886,0.860296610169492,1.72059322033898
"151","Luke Schildmeyer","Notre Dame",0.708920187793427,0.728813559322034,0.495,0.572164948453608,2.50489869556907,0.728813559322034,0.708920187793427,0.626224673892267,0.718866873557731,1.43773374711546
