"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"78","Francisco Zavaleta","CAL POLY POMONA",0.423913043478261,0.894736842105263,0.959798994974874,0.769230769230769,3.04767964978917,0.959798994974874,0.894736842105263,0.761919912447292,0.927267918540069,1.85453583708014
"79","Edgar Ortega","CHICO STATE",0.429347826086957,0.947368421052632,0.678391959798995,0.711538461538462,2.76664666847704,0.947368421052632,0.711538461538462,0.691661667119261,0.829453441295547,1.65890688259109
"80","Spencer Conrad","Oklahoma Baptist ",0.434782608695652,0.043859649122807,NA,0.0673076923076923,0.545949950126151,0.434782608695652,0.0673076923076923,0.181983316708717,0.251045150501672,0.502090301003345
"81","Samuel Fantoni ","Oklahoma Baptist ",0.440217391304348,0.219298245614035,0.361809045226131,0.125,1.14632468214451,0.440217391304348,0.361809045226131,0.286581170536128,0.401013218265239,0.802026436530479
"82","Xander Civinskas","Saginaw Valley ",0.445652173913043,0.267543859649123,0.14070351758794,0.322115384615385,1.17601493576549,0.445652173913043,0.322115384615385,0.294003733941373,0.383883779264214,0.767767558528428
"83","Joey Gilbert","Saginaw Valley ",0.451086956521739,0.587719298245614,0.105527638190955,0.745192307692308,1.88952620065062,0.745192307692308,0.587719298245614,0.472381550162654,0.666455802968961,1.33291160593792
"84","Colby Garner","DRURY",0.456521739130435,0.824561403508772,0.417085427135678,0.605769230769231,2.30393780054412,0.824561403508772,0.605769230769231,0.575984450136029,0.715165317139001,1.430330634278
"85","Nathan Knox","Alabama Huntsville",0.46195652173913,0.964912280701754,0.944723618090452,0.668269230769231,3.03986165130057,0.964912280701754,0.944723618090452,0.759965412825142,0.954817949396103,1.90963589879221
"86","Josh Meneses","Azusa Pacific",0.467391304347826,0.285087719298246,0.21608040201005,NA,0.968559425656122,0.467391304347826,0.285087719298246,0.322853141885374,0.376239511823036,0.752479023646072
"87","Cameron Watson","Augusta",0.472826086956522,0.793859649122807,0.85929648241206,0.701923076923077,2.82790529541447,0.85929648241206,0.793859649122807,0.706976323853616,0.826578065767434,1.65315613153487
"88","Eian Butler","Shippensburg",0.478260869565217,0.298245614035088,NA,0.370192307692308,1.14669879129261,0.478260869565217,0.370192307692308,0.382232930430871,0.424226588628763,0.848453177257525
"89","Jaylen Caneus","Florida Southern",0.483695652173913,0.166666666666667,NA,0.0384615384615385,0.688823857302118,0.483695652173913,0.166666666666667,0.229607952434039,0.32518115942029,0.65036231884058
"90","Dylan Mayberry","Harding ",0.489130434782609,0.916666666666667,0.763819095477387,0.865384615384615,3.03500081231128,0.916666666666667,0.865384615384615,0.758750203077819,0.891025641025641,1.78205128205128
"91","Zach Beneteau","Walsh ",0.494565217391304,0.741228070175439,0.934673366834171,0.956730769230769,3.12719742363168,0.956730769230769,0.934673366834171,0.781799355907921,0.94570206803247,1.89140413606494
"92","Collin Mayfield","Lee",0.5,0.605263157894737,0.603015075376884,0.889423076923077,2.5977013101947,0.889423076923077,0.605263157894737,0.649425327548675,0.747343117408907,1.49468623481781
"93","Iver Phillips","UMary",0.505434782608696,0.552631578947368,0.467336683417085,0.182692307692308,1.70809535266546,0.552631578947368,0.505434782608696,0.427023838166364,0.529033180778032,1.05806636155606
"94","Ethan Kraft","Sioux Falls",0.510869565217391,0.105263157894737,0.21105527638191,0.177884615384615,1.00507261487865,0.510869565217391,0.21105527638191,0.251268153719663,0.36096242079965,0.721924841599301
"95","Caleb Rivera","Sioux Falls",0.516304347826087,0.469298245614035,NA,0.495192307692308,1.48079490113243,0.516304347826087,0.495192307692308,0.493598300377477,0.505748327759197,1.01149665551839
"96","Anthony Castro","Fresno Pacific ",0.521739130434783,0.504385964912281,0.306532663316583,0.5,1.83265775866365,0.521739130434783,0.504385964912281,0.458164439665912,0.513062547673532,1.02612509534706
"97","Aidan Tomasini","Biola ",0.527173913043478,0.837719298245614,0.849246231155779,NA,2.21413944244487,0.849246231155779,0.837719298245614,0.738046480814957,0.843482764700696,1.68696552940139
"98","Ezekiel Nyberg","Azusa Pacific",0.532608695652174,0.56140350877193,0.396984924623116,NA,1.49099712904722,0.56140350877193,0.532608695652174,0.49699904301574,0.547006102212052,1.0940122044241
"99","Avery Jaynes","Augusta",0.53804347826087,0.903508771929825,0.874371859296482,0.990384615384615,3.30630872487179,0.990384615384615,0.903508771929825,0.826577181217948,0.94694669365722,1.89389338731444
"100","Mcdonald Tandoh","Columbus State",0.543478260869565,0.0263157894736842,NA,0.0432692307692308,0.61306328111248,0.543478260869565,0.0432692307692308,0.204354427037493,0.293373745819398,0.586747491638796
"101","Mitch Lockard","COLORADO MESA",0.548913043478261,0.114035087719298,0.135678391959799,0.211538461538462,1.01016498469582,0.548913043478261,0.211538461538462,0.252541246173955,0.380225752508361,0.760451505016722
"102","Alberto Campa","COLORADO MINES",0.554347826086957,0.969298245614035,0.914572864321608,0.870192307692308,3.30841124371491,0.969298245614035,0.914572864321608,0.827102810928727,0.941935554967822,1.88387110993564
"103","Cody Klingelhoffer","UCCS",0.559782608695652,0.640350877192982,0.0402010050251256,0.25,1.49033449091376,0.640350877192982,0.559782608695652,0.37258362272844,0.600066742944317,1.20013348588863
"104","Bentley Alderson ","GVSU",0.565217391304348,0.820175438596491,0.0452261306532663,0.158653846153846,1.58927280670795,0.820175438596491,0.565217391304348,0.397318201676988,0.69269641495042,1.38539282990084
"105","Noah Fuerst ","GVSU",0.570652173913043,0.0964912280701754,NA,0.302884615384615,0.970028017367834,0.570652173913043,0.302884615384615,0.323342672455945,0.436768394648829,0.873536789297659
"106","Ryan Mansour","GVSU",0.576086956521739,0.403508771929825,0.723618090452261,NA,1.70321381890383,0.723618090452261,0.576086956521739,0.567737939634608,0.649852523487,1.299705046974
"107","Elysee Shaka","GVSU",0.581521739130435,0.153508771929825,0.221105527638191,0.629807692307692,1.58594373100614,0.629807692307692,0.581521739130435,0.396485932751536,0.605664715719064,1.21132943143813
"108","Tru Murphy ","Saginaw Valley ",0.58695652173913,0.25,NA,0.408653846153846,1.24561036789298,0.58695652173913,0.408653846153846,0.415203455964326,0.497805183946488,0.995610367892977
"109","William Robinson ","Michigan Tech ",0.592391304347826,0.342105263157895,0.0050251256281407,NA,0.939521693133861,0.592391304347826,0.342105263157895,0.313173897711287,0.46724828375286,0.934496567505721
"110","D'Anthony Shaw","Wayne State (MI)",0.597826086956522,0.179824561403509,0.155778894472362,0.346153846153846,1.27958338898624,0.597826086956522,0.346153846153846,0.31989584724656,0.471989966555184,0.943979933110368
"111","Jacob Cureton ","Malone ",0.603260869565217,NA,NA,0.1875,0.790760869565217,0.603260869565217,NA,0.395380434782609,0.603260869565217,0.603260869565217
"112","Cory Nounnan","WESTERN WASHINGTON",0.608695652173913,0.771929824561403,0.673366834170854,0.783653846153846,2.83764615706002,0.783653846153846,0.771929824561403,0.709411539265004,0.777791835357625,1.55558367071525
"113","Ben Haberman","Augustana (S.D.)",0.614130434782609,0.785087719298246,0.758793969849246,0.721153846153846,2.87916597008395,0.785087719298246,0.758793969849246,0.719791492520987,0.771940844573746,1.54388168914749
"114","Evan Myran","Augustana (S.D.)",0.619565217391304,0.789473684210526,0.798994974874372,0.692307692307692,2.90034156878389,0.798994974874372,0.789473684210526,0.725085392195974,0.794234329542449,1.5884686590849
"115","Juan Zamora","Fresno Pacific ",0.625,0.513157894736842,0.231155778894472,NA,1.36931367363131,0.625,0.513157894736842,0.456437891210438,0.569078947368421,1.13815789473684
